№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
1;Антонина Игоревна Федотова;+7 136 024 61 33;87;126;48;ст. Лотошино, ш. Репина, д. 6/8 к. 86, 823407;1872
2;Каллистрат Гертрудович Савельев;8 (417) 259-53-21;414;114;38;клх Северодвинск, ш. Орловское, д. 8 стр. 6/8, 072247;0
3;Панфилов Семен Георгиевич;+76561389851;145;432;46;к. Мончегорск, ш. Достоевского, д. 1 к. 4/4, 450588;13202
4;Зоя Захаровна Ильина;+7 (983) 981-75-73;175;204;13;п. Шенкурск, пр. Красноармейский, д. 8 стр. 57, 087538;377
5;Никандр Иларионович Носков;+7 403 300 78 52;2;226;47;с. Кириши, пр. Толстого, д. 9 к. 320, 550979;10528
6;Дьячков Панкратий Вячеславович;+71223879532;367;145;4;г. Гаврилов-Ям, алл. Толстого, д. 7, 366210;0
7;Устин Герасимович Титов;83415929302;43;112;33;к. Усть-Калманка, алл. Воровского, д. 4 стр. 3/4, 090482;2277
8;Мефодий Андреевич Селиверстов;8 (245) 095-02-63;411;417;25;клх Нерчинск, алл. Механизаторов, д. 4, 920602;150
9;Максим Адрианович Хохлов;81901658232;1;58;49;г. Кандалакша, пер. Тимирязева, д. 587 стр. 6, 029984;2793
10;Панкрат Григорьевич Харитонов;+7 (682) 974-1014;300;441;41;к. Александровск-Сахалинский, ш. Северное, д. 753 стр. 15, 392715;5781
11;Сысоев Самуил Чеславович;+74443460587;429;476;29;ст. Белогорск (Амур.), алл. Восточная, д. 824 к. 95, 251547;1363
12;Бобров Аггей Викентьевич;+7 (133) 851-49-08;456;572;49;д. Лодейное Поле, алл. З.Космодемьянской, д. 15 к. 97, 585770;5684
13;Крюков Сергей Филиппович;8 229 044 2979;448;178;1;с. Соль-Илецк, ш. Подлесное, д. 10 стр. 21, 938873;0
14;Светлана Юрьевна Игнатьева;8 (985) 258-52-14;459;480;9;д. Калач, ул. Стадионная, д. 7/2, 035219;189
15;Клавдия Владимировна Яковлева;+7 120 267 2481;5;163;18;клх Лодейное Поле, наб. Майская, д. 56, 241738;2844
16;Акулина Анатольевна Мамонтова;+72822241701;195;571;49;ст. Голицыно, наб. Невского, д. 3/6 стр. 5/2, 978879;18424
17;Агафонов Кирилл Артёмович;+79361266365;392;164;22;д. Орел, ул. Белинского, д. 453, 086475;0
18;Сергеева Ия Архиповна;8 (290) 695-4710;358;85;50;к. Нефедова, ул. Льва Толстого, д. 79 к. 2, 622337;0
19;Шашкова Клавдия Руслановна;+7 (511) 866-7658;421;287;5;клх Архангельск, алл. Микрорайон, д. 1, 873286;0
20;Борислав Марсович Бобров;8 182 292 4975;264;515;24;с. Елатьма, алл. Интернациональная, д. 1/4 стр. 18, 244912;6024
21;Прасковья Ниловна Ефремова;+7 (963) 497-1001;221;132;4;д. Каменномостский, пр. Азина, д. 5/9 стр. 7, 893127;0
22;Ширяева Прасковья Анатольевна;+7 (074) 967-83-90;67;372;35;к. Алагир, наб. Надежды, д. 7/3, 810763;10675
23;Нина Степановна Самойлова;83052377184;456;507;13;г. Кузнецк, ул. Мира, д. 8, 811503;663
24;Константин Устинович Бирюков;+79641653551;202;57;42;клх Мелеуз, пер. Калужский, д. 512, 085498;0
